source_row,basin_index,downstream_anchor,upstream_ids_raw,directions_raw,parsed_direction_count,matched_direction_ids,unmatched_direction_tokens,defaulted_to_top,reason_if_defaulted
166,2,J95.3,J95.2,J95.2 LEFT,1,J_95_2,,false,
167,2,J95.2,"J95.15, IN113, IN112.2","IN113 LEFT, IN112.2 TOP, J95.15 RIGHT",3,IN_113|IN_112_2|J_95_15,,false,
168,2,J95.15,"J95.1, IN112.1","IN112.1 RIGHT, J95.1 TOP",2,IN_112_1|J_95_1,,false,
169,2,J95.1,IN112,IN112 LEFT,1,IN_112,,false,
170,2,J95,"J89, J94.4, IN111","IN111 TOP, J89 45 DEGREES TOP LEFT, J94.4 RIGHT",3,IN_111|J_89|J_94_4,,false,
171,2,J94.4,"J94.1, J94.2","J94.2 LEFT, J94.1 45 DEGREES TOP RIGHT",2,J_94_2|J_94_1,,false,
172,2,J94.2,IN110.1,IN110.1 TOP,1,IN_110_1,,false,
173,2,J94.1,J94,J94 TOP,1,J_94,,false,
174,2,J94,"J93, IN109","J93 LEFT, IN109 RIGHT",2,J_93|IN_109,,false,
175,2,J93,"J92, IN107, IN108","IN108 LEFT, IN107 RIGHT, J92 TOP",3,IN_108|IN_107|J_92,,false,
176,2,J92,"J90.1, J91","J90.1 45 DEGREES TOP RIGHT, J91 45 DEGREES TOP LEFT",2,J_90_1|J_91,,false,
177,2,J91,"IN106, IN106.1","IN106.1 TOP, IN106 RIGHT",2,IN_106_1|IN_106,,false,
178,2,J90.1,"J90, IN105","IN105 LEFT, J90 TOP",2,IN_105|J_90,,false,
179,2,J90,"IN103, IN104","IN103 LEFT, IN104 RIGHT",2,IN_103|IN_104,,false,
180,2,J89,"J88.1, IN102","IN102 RIGHT, J88.1 TOP",2,IN_102|J_88_1,,false,
181,2,J88.1,"J88, J83.1, J87, IN101, IN100.1","IN100.1 45 DEGREES TOP LEFT, IN101 45 DEGREES TOP RIGHT, J87 TOP, J88 LEFT, J83.1 RIGHT",5,IN_100_1|IN_101|J_87|J_88|J_83_1,,false,
182,2,J88,IN100,IN100 TOP,1,IN_100,,false,
183,2,J87,"J85, J86","J85 RIGHT, J86 TOP",2,J_85|J_86,,false,
184,2,J86,"IN99, IN98","IN99 LEFT, IN98 RIGHT",2,IN_99|IN_98,,false,
185,2,J85,"J84.1, IN97","IN97 RIGHT, J84.1 LEFT",2,IN_97|J_84_1,,false,
186,2,J84.1,"IN96, J84","J84 TOP, IN96 LEFT",2,J_84|IN_96,,false,
187,2,J84,IN95,IN95 RIGHT,1,IN_95,,false,
188,2,J83.1,"IN94, J83","J83 TOP, IN94 RIGHT",2,J_83|IN_94,,false,
189,2,J83,"J82, IN93, IN92","IN93 RIGHT, IN92 LEFT, J82 TOP",3,IN_93|IN_92|J_82,,false,
190,2,J82,"IN90, IN91, J81.1","IN90 LEFT, IN91 RIGHT, J81.1 TOP",3,IN_90|IN_91|J_81_1,,false,
191,2,J81.1,"IN89, J81","IN89 LEFT, J81 TOP",2,IN_89|J_81,,false,
192,2,J81,"J80, IN87, IN88","IN88 RIGHT, IN87 LEFT, J80 TOP",3,IN_88|IN_87|J_80,,false,
193,2,J80,"J79, J78.1","J79 RIGHT, J78.1 TOP",2,J_79|J_78_1,,false,
194,2,J79,"IN86, IN85","IN85 LEFT, IN86 RIGHT",2,IN_85|IN_86,,false,
195,2,J78.1,"J78, IN84","IN84 LEFT, J78 TOP",2,IN_84|J_78,,false,
196,2,J78,IN83,IN83 TOP,1,IN_83,,false,
198,3,O134.1,J134.1,J134.1 TOP,1,J_134_1,,false,
199,3,J134.1,IN161,IN161 TOP,1,IN_161,,false,
201,4,O135,J135,J135 TOP,1,J_135,,false,
202,4,J135,IN163,IN163 TOP,1,IN_163,,false,
204,5,O156,J156,J156 TOP,1,J_156,,false,
205,5,J156,"IN192, IN193, J155","IN192 LEFT, IN193 RIGHT, J155 TOP",3,IN_192|IN_193|J_155,,false,
206,5,J155,"IN191, J154","IN191 LEFT, J154 TOP",2,IN_191|J_154,,false,
207,5,J154,"J153.1, IN189, IN190","IN189 LEFT, IN190 RIGHT, J153.1 TOP",3,IN_189|IN_190|J_153_1,,false,
208,5,J153.1,"J145, J151, J153","J145 LEFT, J151 TOP, J153 RIGHT",3,J_145|J_151|J_153,,false,
209,5,J153,"J152, IN188","IN188 TOP, J152 RIGHT",2,IN_188|J_152,,false,
210,5,J152,"IN185, IN186, IN187","IN185 TOP, IN186 RIGHT, IN187 LEFT",3,IN_185|IN_186|IN_187,,false,
211,5,J151,"J150, IN183, IN184","IN183 LEFT, IN184 RIGHT, J150 TOP",3,IN_183|IN_184|J_150,,false,
212,5,J150,"IN182, J149","J149 TOP, IN182 LEFT",2,J_149|IN_182,,false,
213,5,J149,"IN181, J147, J148","J147 RIGHT, IN181 TOP, J148 LEFT",3,J_147|IN_181|J_148,,false,
214,5,J148,IN180,IN180 TOP,1,IN_180,,false,
215,5,J147,"IN179, J146","J146 TOP, IN179 LEFT",2,J_146|IN_179,,false,
216,5,J146,IN178,IN178 TOP,1,IN_178,,false,
217,5,J145,"J144, J143, IN177","IN177 RIGHT, J144 LEFT, J143 TOP",3,IN_177|J_144|J_143,,false,
218,5,J144,"IN175, IN176","IN175 RIGHT, IN176 LEFT",2,IN_175|IN_176,,false,
219,5,J143,"J142, J141","J142 RIGHT, J141 TOP",2,J_142|J_141,,false,
220,5,J142,IN174,IN174 TOP,1,IN_174,,false,
221,5,J141,"IN173, IN172, J140, J138","IN173 TOP, J138 RIGHT, J140 LEFT, IN172 45 DEGREES TOP LEFT",4,IN_173|J_138|J_140|IN_172,,false,
222,5,J140,"IN171, J139","IN171 LEFT, J139 TOP",2,IN_171|J_139,,false,
223,5,J139,"IN169, IN170","IN169 TOP, IN170 RIGHT",2,IN_169|IN_170,,false,
224,5,J138,"IN168, IN167, J137.2","J137.2 TOP, IN168 RIGHT, IN167 LEFT",3,J_137_2|IN_168|IN_167,,false,
225,5,J137.2,"J136.9, J137.1","J136.9 RIGHT, J137.1 TOP",2,J_136_9|J_137_1,,false,
226,5,J137.1,"J137, IN166.2","IN166.2 LEFT, J137 TOP",2,IN_166_2|J_137,,false,
227,5,J137,"IN166.1, IN166","IN166 RIGHT, IN166.1 LEFT",2,IN_166|IN_166_1,,false,
228,5,J136.9,"J136.8, J136.7","J136.7 LEFT, J136.8 TOP",2,J_136_7|J_136_8,,false,
229,5,J136.8,"IN165.9, IN165.8","IN165.9 RIGHT, IN165.8 LEFT",2,IN_165_9|IN_165_8,,false,
230,5,J136.7,"J136.6, IN165.6, IN165.7","IN165.6 LEFT, IN165.7 RIGHT, J136.6 TOP",3,IN_165_6|IN_165_7|J_136_6,,false,
231,5,J136.6,"J136, J136.5","J136 LEFT, J136.5 RIGHT",2,J_136|J_136_5,,false,
232,5,J136.5,"IN165.5, J136.4","IN165.5 RIGHT, J136.4 LEFT",2,IN_165_5|J_136_4,,false,
233,5,J136.4,"J136.3, IN165.4","J136.3 TOP, IN165.4 LEFT",2,J_136_3|IN_165_4,,false,
234,5,J136.3,"J136.2, IN165.3","J136.2 TOP, IN165.3 LEFT",2,J_136_2|IN_165_3,,false,
235,5,J136.2,"J136.1, IN165.2","IN165.2 TOP, J136.1 RIGHT",2,IN_165_2|J_136_1,,false,
236,5,J136.1,IN165.1,IN165.1 LEFT,1,IN_165_1,,false,
237,5,J136,"IN165, IN164","IN165 LEFT, IN164 RIGHT",2,IN_165|IN_164,,false,
