basin_index,from_raw,from_swmm_id,to_raw,to_swmm_id,edge_type,parsed_successfully,built_successfully,blocker_reason,direction_token_used,source_branch_logic_row
2,J91,J_91,J92,J_92,JJ,true,true,,TOP,176
2,IN106,IN_106,J91,J_91,IJ,true,true,,TOP,177
2,IN105,IN_105,J90.1,J_90_1,IJ,true,true,,TOP,178
2,IN103,IN_103,J90,J_90,IJ,true,true,,TOP,179
2,IN104,IN_104,J90,J_90,IJ,true,true,,TOP,179
2,IN102,IN_102,J89,J_89,IJ,true,true,,TOP,180
2,J88,J_88,J88.1,J_88_1,JJ,true,true,,TOP,181
2,J83.1,J_83_1,J88.1,J_88_1,JJ,true,true,,TOP,181
2,IN101,IN_101,J88.1,J_88_1,IJ,true,true,,TOP,181
2,IN100.1,IN_100_1,J88.1,J_88_1,IJ,true,true,,TOP,181
2,J85,J_85,J87,J_87,JJ,true,true,,TOP,183
2,IN99,IN_99,J86,J_86,IJ,true,true,,TOP,184
2,IN98,IN_98,J86,J_86,IJ,true,true,,TOP,184
2,J84.1,J_84_1,J85,J_85,JJ,true,true,,TOP,185
2,IN97,IN_97,J85,J_85,IJ,true,true,,TOP,185
2,IN96,IN_96,J84.1,J_84_1,IJ,true,true,,TOP,186
2,IN95,IN_95,J84,J_84,IJ,true,true,,TOP,187
2,IN94,IN_94,J83.1,J_83_1,IJ,true,true,,TOP,188
2,IN93,IN_93,J83,J_83,IJ,true,true,,TOP,189
2,IN92,IN_92,J83,J_83,IJ,true,true,,TOP,189
2,IN90,IN_90,J82,J_82,IJ,true,true,,TOP,190
2,IN91,IN_91,J82,J_82,IJ,true,true,,TOP,190
2,IN89,IN_89,J81.1,J_81_1,IJ,true,false,missing_junction_source,TOP,191
2,IN87,IN_87,J81,J_81,IJ,true,true,,TOP,192
2,IN88,IN_88,J81,J_81,IJ,true,true,,TOP,192
2,J79,J_79,J80,J_80,JJ,true,true,,TOP,193
2,IN86,IN_86,J79,J_79,IJ,true,true,,TOP,194
2,IN85,IN_85,J79,J_79,IJ,true,true,,TOP,194
2,IN84,IN_84,J78.1,J_78_1,IJ,true,false,missing_junction_source,TOP,195
2,IN83,IN_83,J78,J_78,IJ,true,true,,TOP,196
3,J134.1,J_134_1,O134.1,O_134_1,JO,true,true,,TOP,198
3,IN161,IN_161,J134.1,J_134_1,IJ,true,true,,TOP,199
4,J135,J_135,O135,O_135,JO,true,true,,TOP,201
4,IN163,IN_163,J135,J_135,IJ,true,true,,TOP,202
5,J156,J_156,O156,O_156,JO,true,true,,TOP,204
5,IN192,IN_192,J156,J_156,IJ,true,true,,LEFT,205
5,IN193,IN_193,J156,J_156,IJ,true,true,,RIGHT,205
5,J155,J_155,J156,J_156,JJ,true,true,,TOP,205
5,IN191,IN_191,J155,J_155,IJ,true,true,,LEFT,206
5,J154,J_154,J155,J_155,JJ,true,true,,TOP,206
5,J153.1,J_153_1,J154,J_154,JJ,true,true,,TOP,207
5,IN189,IN_189,J154,J_154,IJ,true,true,,LEFT,207
5,IN190,IN_190,J154,J_154,IJ,true,true,,RIGHT,207
5,J145,J_145,J153.1,J_153_1,JJ,true,true,,LEFT,208
5,J151,J_151,J153.1,J_153_1,JJ,true,true,,TOP,208
5,J153,J_153,J153.1,J_153_1,JJ,true,true,,RIGHT,208
5,J152,J_152,J153,J_153,JJ,true,true,,RIGHT,209
5,IN188,IN_188,J153,J_153,IJ,true,true,,TOP,209
5,IN185,IN_185,J152,J_152,IJ,true,true,,TOP,210
5,IN186,IN_186,J152,J_152,IJ,true,true,,RIGHT,210
5,IN187,IN_187,J152,J_152,IJ,true,true,,LEFT,210
5,J150,J_150,J151,J_151,JJ,true,true,,TOP,211
5,IN183,IN_183,J151,J_151,IJ,true,true,,LEFT,211
5,IN184,IN_184,J151,J_151,IJ,true,true,,RIGHT,211
5,IN182,IN_182,J150,J_150,IJ,true,true,,LEFT,212
5,J149,J_149,J150,J_150,JJ,true,true,,TOP,212
5,IN181,IN_181,J149,J_149,IJ,true,true,,TOP,213
5,J147,J_147,J149,J_149,JJ,true,true,,RIGHT,213
5,J148,J_148,J149,J_149,JJ,true,true,,LEFT,213
5,IN180,IN_180,J148,J_148,IJ,true,true,,TOP,214
5,IN179,IN_179,J147,J_147,IJ,true,true,,LEFT,215
5,J146,J_146,J147,J_147,JJ,true,true,,TOP,215
5,IN178,IN_178,J146,J_146,IJ,true,true,,TOP,216
5,J144,J_144,J145,J_145,JJ,true,true,,LEFT,217
5,J143,J_143,J145,J_145,JJ,true,true,,TOP,217
5,IN177,IN_177,J145,J_145,IJ,true,true,,RIGHT,217
5,IN175,IN_175,J144,J_144,IJ,true,true,,RIGHT,218
5,IN176,IN_176,J144,J_144,IJ,true,true,,LEFT,218
5,J142,J_142,J143,J_143,JJ,true,true,,RIGHT,219
5,J141,J_141,J143,J_143,JJ,true,true,,TOP,219
5,IN174,IN_174,J142,J_142,IJ,true,true,,TOP,220
5,IN173,IN_173,J141,J_141,IJ,true,true,,TOP,221
5,IN172,IN_172,J141,J_141,IJ,true,true,,45 DEGREES TOP LEFT,221
5,J140,J_140,J141,J_141,JJ,true,true,,LEFT,221
5,J138,J_138,J141,J_141,JJ,true,true,,RIGHT,221
5,IN171,IN_171,J140,J_140,IJ,true,true,,LEFT,222
5,J139,J_139,J140,J_140,JJ,true,true,,TOP,222
5,IN169,IN_169,J139,J_139,IJ,true,true,,TOP,223
5,IN170,IN_170,J139,J_139,IJ,true,true,,RIGHT,223
5,IN168,IN_168,J138,J_138,IJ,true,true,,RIGHT,224
5,IN167,IN_167,J138,J_138,IJ,true,true,,LEFT,224
5,J137.2,J_137_2,J138,J_138,JJ,true,false,missing_junction_source,TOP,224
5,J136.9,J_136_9,J137.2,J_137_2,JJ,true,false,missing_junction_source,RIGHT,225
5,J137.1,J_137_1,J137.2,J_137_2,JJ,true,false,missing_junction_source,TOP,225
5,J137,J_137,J137.1,J_137_1,JJ,true,true,,TOP,226
5,IN166.2,IN_166_2,J137.1,J_137_1,IJ,true,true,,LEFT,226
5,IN166.1,IN_166_1,J137,J_137,IJ,true,true,,LEFT,227
5,IN166,IN_166,J137,J_137,IJ,true,true,,RIGHT,227
5,J136.8,J_136_8,J136.9,J_136_9,JJ,true,false,missing_junction_source,TOP,228
5,J136.7,J_136_7,J136.9,J_136_9,JJ,true,false,missing_junction_source,LEFT,228
5,IN165.9,IN_165_9,J136.8,J_136_8,IJ,true,false,missing_junction_source,RIGHT,229
5,IN165.8,IN_165_8,J136.8,J_136_8,IJ,true,false,missing_junction_source,LEFT,229
5,J136.6,J_136_6,J136.7,J_136_7,JJ,true,false,missing_junction_source,TOP,230
5,IN165.6,IN_165_6,J136.7,J_136_7,IJ,true,false,missing_junction_source,LEFT,230
5,IN165.7,IN_165_7,J136.7,J_136_7,IJ,true,false,missing_junction_source,RIGHT,230
5,J136,J_136,J136.6,J_136_6,JJ,true,true,,LEFT,231
5,J136.5,J_136_5,J136.6,J_136_6,JJ,true,true,,RIGHT,231
5,IN165.5,IN_165_5,J136.5,J_136_5,IJ,true,true,,RIGHT,232
5,J136.4,J_136_4,J136.5,J_136_5,JJ,true,true,,LEFT,232
5,J136.3,J_136_3,J136.4,J_136_4,JJ,true,false,missing_junction_source,TOP,233
5,IN165.4,IN_165_4,J136.4,J_136_4,IJ,true,true,,LEFT,233
5,J136.2,J_136_2,J136.3,J_136_3,JJ,true,false,missing_junction_source|missing_junction_source,TOP,234
5,IN165.3,IN_165_3,J136.3,J_136_3,IJ,true,false,missing_junction_source,LEFT,234
5,J136.1,J_136_1,J136.2,J_136_2,JJ,true,false,missing_junction_source,RIGHT,235
5,IN165.2,IN_165_2,J136.2,J_136_2,IJ,true,false,missing_junction_source,TOP,235
5,IN165.1,IN_165_1,J136.1,J_136_1,IJ,true,true,,LEFT,236
5,IN165,IN_165,J136,J_136,IJ,true,true,,LEFT,237
5,IN164,IN_164,J136,J_136,IJ,true,true,,RIGHT,237
5,IN192,IN_192,J156,J_156,IJ,true,true,,TOP,205
5,IN193,IN_193,J156,J_156,IJ,true,true,,TOP,205
5,IN191,IN_191,J155,J_155,IJ,true,true,,TOP,206
5,IN189,IN_189,J154,J_154,IJ,true,true,,TOP,207
5,IN190,IN_190,J154,J_154,IJ,true,true,,TOP,207
5,J145,J_145,J153.1,J_153_1,JJ,true,true,,TOP,208
5,J153,J_153,J153.1,J_153_1,JJ,true,true,,TOP,208
5,J152,J_152,J153,J_153,JJ,true,true,,TOP,209
5,IN186,IN_186,J152,J_152,IJ,true,true,,TOP,210
5,IN187,IN_187,J152,J_152,IJ,true,true,,TOP,210
5,IN183,IN_183,J151,J_151,IJ,true,true,,TOP,211
5,IN184,IN_184,J151,J_151,IJ,true,true,,TOP,211
5,IN182,IN_182,J150,J_150,IJ,true,true,,TOP,212
5,J147,J_147,J149,J_149,JJ,true,true,,TOP,213
5,J148,J_148,J149,J_149,JJ,true,true,,TOP,213
5,IN179,IN_179,J147,J_147,IJ,true,true,,TOP,215
5,J144,J_144,J145,J_145,JJ,true,true,,TOP,217
5,IN177,IN_177,J145,J_145,IJ,true,true,,TOP,217
5,IN175,IN_175,J144,J_144,IJ,true,true,,TOP,218
5,IN176,IN_176,J144,J_144,IJ,true,true,,TOP,218
5,J142,J_142,J143,J_143,JJ,true,true,,TOP,219
5,IN172,IN_172,J141,J_141,IJ,true,true,,TOP,221
5,J140,J_140,J141,J_141,JJ,true,true,,TOP,221
5,J138,J_138,J141,J_141,JJ,true,true,,TOP,221
5,IN171,IN_171,J140,J_140,IJ,true,true,,TOP,222
5,IN170,IN_170,J139,J_139,IJ,true,true,,TOP,223
5,IN168,IN_168,J138,J_138,IJ,true,true,,TOP,224
5,IN167,IN_167,J138,J_138,IJ,true,true,,TOP,224
5,J136.9,J_136_9,J137.2,J_137_2,JJ,true,false,missing_junction_source,TOP,225
5,IN166.2,IN_166_2,J137.1,J_137_1,IJ,true,true,,TOP,226
5,IN166.1,IN_166_1,J137,J_137,IJ,true,true,,TOP,227
5,IN166,IN_166,J137,J_137,IJ,true,true,,TOP,227
5,J136.7,J_136_7,J136.9,J_136_9,JJ,true,false,missing_junction_source,TOP,228
5,IN165.9,IN_165_9,J136.8,J_136_8,IJ,true,false,missing_junction_source,TOP,229
5,IN165.8,IN_165_8,J136.8,J_136_8,IJ,true,false,missing_junction_source,TOP,229
