basin_index,source_row,raw_id,swmm_id,rim_elev,soffit_elev,diameter_in,invert_elev,downstream_pipe_length_ft,data_complete,missing_fields,notes_applied
,16,2,J_2,428.5,422.36,24.0,420.36,943.0,true,,HYDROLOGY + manual overrides where provided
,64,20,J_20,414.84,409.23,24.0,407.23,658.0,true,,HYDROLOGY + manual overrides where provided
,66,21,J_21,413.1,408.7,30.0,406.2,251.0,true,,HYDROLOGY + manual overrides where provided
,70,22,J_22,415.05,407.54,24.0,405.54,146.0,true,,HYDROLOGY + manual overrides where provided
,71,23,J_23,413.79,407.69,30.0,405.19,114.0,true,,HYDROLOGY + manual overrides where provided
,75,24,J_24,413.15,407.36,24.0,405.36,73.0,true,,HYDROLOGY + manual overrides where provided
,76,25,J_25,413.62,407.38,30.0,404.88,227.0,true,,HYDROLOGY + manual overrides where provided
,78,26,J_26,413.76,406.57,30.0,404.07,189.0,true,,HYDROLOGY + manual overrides where provided
,81,26.1,J_26_1,415.3,409.33,24.0,407.33,166.0,true,,HYDROLOGY + manual overrides where provided
,83,27,J_27,414.47,409.95,24.0,407.95,176.0,true,,HYDROLOGY + manual overrides where provided
,85,27.1,J_27_1,414.52,408.75,24.0,406.75,350.0,true,,HYDROLOGY + manual overrides where provided
,87,28,J_28,414.17,405.85,24.0,403.85,113.0,true,,HYDROLOGY + manual overrides where provided
,88,29,J_29,414.44,406.04,36.0,403.04,512.0,true,,HYDROLOGY + manual overrides where provided
,18,3,J_3,426.82,420.96,24.0,418.96,826.0,true,,HYDROLOGY + manual overrides where provided
,91,30,J_30,411.61,405.98,24.0,403.98,109.0,true,,HYDROLOGY + manual overrides where provided
,92,31,J_31,411.46,405.24,36.0,402.24,131.0,true,,HYDROLOGY + manual overrides where provided
,96,32,J_32,412.5,406.67,18.0,405.17,278.0,true,,HYDROLOGY + manual overrides where provided
,99,33,J_33,413.01,406.26,18.0,404.76,96.0,true,,HYDROLOGY + manual overrides where provided
,100,34,J_34,411.5,406.06,18.0,404.56,304.0,true,,HYDROLOGY + manual overrides where provided
,102,35,J_35,410.59,405.38,36.0,402.38,439.0,true,,HYDROLOGY + manual overrides where provided
,105,36,J_36,410.4,,18.0,,40.0,false,AC,HYDROLOGY + manual overrides where provided
,106,37,J_37,409.61,403.83,36.0,400.83,156.0,true,,HYDROLOGY + manual overrides where provided
,110,38,J_38,409.77,402.38,18.0,400.88,156.0,true,,HYDROLOGY + manual overrides where provided
,111,39,J_39,409.3,403.67,36.0,400.67,106.0,true,,HYDROLOGY + manual overrides where provided
,114,40,J_40,409.79,404.1,18.0,402.6,531.0,true,,HYDROLOGY + manual overrides where provided
,117,41,J_41,408.5,401.5,18.0,400.0,107.0,true,,HYDROLOGY + manual overrides where provided
,118,42,J_42,409.19,403.67,42.0,400.17,770.0,true,,HYDROLOGY + manual overrides where provided
,121,43,J_43,414.99,409.76,18.0,408.26,476.0,true,,HYDROLOGY + manual overrides where provided
,123,44,J_44,413.02,407.62,18.0,406.12,455.0,true,,HYDROLOGY + manual overrides where provided
,125,45,J_45,410.4,406.52,18.0,405.02,50.0,true,,HYDROLOGY + manual overrides where provided
,127,46,J_46,410.63,406.15,18.0,404.65,750.0,true,,HYDROLOGY + manual overrides where provided
,131,47,J_47,408.5,403.53,24.0,401.53,14.0,true,,HYDROLOGY + manual overrides where provided
,132,48,J_48,408.5,403.26,24.0,401.26,540.0,true,,HYDROLOGY + manual overrides where provided
,134,49,J_49,406.8,400.87,24.0,398.87,38.0,true,,HYDROLOGY + manual overrides where provided
,,4.1,J_4_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,26,5,J_5,424.09,419.27,24.0,417.27,519.0,true,,HYDROLOGY + manual overrides where provided
,137,50,J_50,407.0,402.15,24.0,400.15,470.0,true,,HYDROLOGY + manual overrides where provided
,138,51,J_51,406.8,402.97,48.0,398.97,538.0,true,,HYDROLOGY + manual overrides where provided
,143,52,J_52,406.15,399.79,24.0,397.79,134.0,true,,HYDROLOGY + manual overrides where provided
,144,53,J_53,405.82,401.76,48.0,397.76,496.0,true,,HYDROLOGY + manual overrides where provided
,147,54,J_54,404.67,401.12,54.0,396.62,45.0,true,,HYDROLOGY + manual overrides where provided
,151,55,J_55,405.16,,18.0,,686.0,false,AC,HYDROLOGY + manual overrides where provided
,153,57,J_57,404.82,400.93,54.0,396.43,420.0,true,,HYDROLOGY + manual overrides where provided
,28,6,J_6,425.17,418.39,30.0,415.89,606.0,true,,HYDROLOGY + manual overrides where provided
,157,61,J_61,404.82,399.45,30.0,396.95,216.0,true,,HYDROLOGY + manual overrides where provided
,158,62,J_62,404.25,398.44,54.0,393.94,619.0,true,,HYDROLOGY + manual overrides where provided
,161,63,J_63,404.69,397.23,54.0,392.73,330.0,true,,HYDROLOGY + manual overrides where provided
,164,65,J_65,405.0,369.79,54.0,365.29,1237.0,true,,HYDROLOGY + manual overrides where provided
,,65.1,J_65_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,171,65.2,J_65_2,399.56,,18.0,,362.0,false,AC,HYDROLOGY + manual overrides where provided
,173,65.25,J_65_25,399.22,,18.0,,369.0,false,AC,HYDROLOGY + manual overrides where provided
,174,65.3,J_65_3,401.5,,54.0,,209.0,false,AC,HYDROLOGY + manual overrides where provided
,178,68,J_68,397.99,,18.0,,391.0,false,AC,HYDROLOGY + manual overrides where provided
,179,68.05,J_68_05,399.54,,30.0,,29.0,false,AC,HYDROLOGY + manual overrides where provided
,,68.1,J_68_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,184,69,J_69,399.62,391.68,54.0,387.18,1195.0,true,,HYDROLOGY + manual overrides where provided
,30,6.1,J_6_1,421.46,415.62,30.0,413.12,32.0,true,,HYDROLOGY + manual overrides where provided
,33,7,J_7,421.85,415.37,18.0,413.87,300.0,true,,HYDROLOGY + manual overrides where provided
,188,70,J_70,398.37,390.97,18.0,389.47,49.0,true,,HYDROLOGY + manual overrides where provided
,,70.1,J_70_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,194,70.2,J_70_2,399.07,390.47,18.0,388.97,418.0,true,,HYDROLOGY + manual overrides where provided
,197,70.3,J_70_3,397.5,389.25,18.0,387.75,125.0,true,,HYDROLOGY + manual overrides where provided
,,70.4,J_70_4,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,200,71,J_71,397.2,389.08,54.0,384.58,960.0,true,,HYDROLOGY + manual overrides where provided
,,71.1,J_71_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,206,71.2,J_71_2,393.07,,18.0,,229.0,false,AC,HYDROLOGY + manual overrides where provided
,209,71.3,J_71_3,393.75,,18.0,,294.0,false,AC,HYDROLOGY + manual overrides where provided
,,71.4,J_71_4,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,214,71.5,J_71_5,397.77,391.37,18.0,389.87,501.0,true,,HYDROLOGY + manual overrides where provided
,,71.6,J_71_6,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,217,71.7,J_71_7,395.0,386.38,18.0,384.88,40.0,true,,HYDROLOGY + manual overrides where provided
,219,71.8,J_71_8,395.0,386.32,18.0,384.82,152.0,true,,HYDROLOGY + manual overrides where provided
,,71.9,J_71_9,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,221,72,J_72,397.2,384.92,54.0,380.42,460.0,true,,HYDROLOGY + manual overrides where provided
,222,74,J_74,395.18,384.11,54.0,379.61,1008.0,true,,HYDROLOGY + manual overrides where provided
,226,75,J_75,392.24,382.48,54.0,377.98,408.0,true,,HYDROLOGY + manual overrides where provided
,229,76,J_76,391.26,385.56,15.0,384.31,155.0,true,,HYDROLOGY + manual overrides where provided
,230,77,J_77,392.0,382.08,54.0,377.58,236.0,true,,HYDROLOGY + manual overrides where provided
,235,78,J_78,411.37,406.73,18.0,405.23,37.0,true,,HYDROLOGY + manual overrides where provided
,,78.1,J_78_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,241,79,J_79,409.13,403.25,18.0,401.75,157.0,true,,HYDROLOGY + manual overrides where provided
,34,7.1,J_7_1,421.55,415.6,30.0,413.1,30.0,true,,HYDROLOGY + manual overrides where provided
,38,8,J_8,422.0,416.19,18.0,414.69,291.0,true,,HYDROLOGY + manual overrides where provided
,242,80,J_80,410.54,403.14,24.0,401.14,802.0,true,,HYDROLOGY + manual overrides where provided
,245,81,J_81,405.98,400.1,24.0,398.1,79.0,true,,HYDROLOGY + manual overrides where provided
,,81.1,J_81_1,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,250,82,J_82,406.14,399.11,30.0,396.61,509.0,true,,HYDROLOGY + manual overrides where provided
,253,83,J_83,402.5,395.93,30.0,393.43,46.0,true,,HYDROLOGY + manual overrides where provided
,255,83.1,J_83_1,402.75,395.93,30.0,393.43,961.0,true,,HYDROLOGY + manual overrides where provided
,258,84,J_84,408.5,,18.0,,215.0,false,AC,HYDROLOGY + manual overrides where provided
,260,84.1,J_84_1,409.0,,18.0,,37.0,false,AC,HYDROLOGY + manual overrides where provided
,262,85,J_85,409.0,401.33,18.0,399.83,1292.0,true,,HYDROLOGY + manual overrides where provided
,266,86,J_86,404.95,400.59,24.0,398.59,575.0,true,,HYDROLOGY + manual overrides where provided
,267,87,J_87,409.0,398.93,24.0,396.93,970.0,true,,HYDROLOGY + manual overrides where provided
,270,88,J_88,398.0,397.05,30.0,394.55,176.0,true,,HYDROLOGY + manual overrides where provided
,273,88.1,J_88_1,401.5,395.84,36.0,392.84,650.0,true,,HYDROLOGY + manual overrides where provided
,275,89,J_89,399.3,,36.0,,296.0,false,AC,HYDROLOGY + manual overrides where provided
,39,9,J_9,421.4,415.62,30.0,413.12,683.0,true,,HYDROLOGY + manual overrides where provided
,279,90,J_90,401.64,397.21,18.0,395.71,71.0,true,,HYDROLOGY + manual overrides where provided
,281,90.1,J_90_1,401.88,397.17,18.0,395.67,469.0,true,,HYDROLOGY + manual overrides where provided
,285,91,J_91,401.2,,18.0,,662.0,false,AC,HYDROLOGY + manual overrides where provided
,286,92,J_92,401.72,396.46,18.0,394.96,984.0,true,,HYDROLOGY + manual overrides where provided
,289,93,J_93,396.8,392.53,18.0,391.03,41.0,true,,HYDROLOGY + manual overrides where provided
,291,94,J_94,396.8,389.55,30.0,387.05,18.0,true,,HYDROLOGY + manual overrides where provided
,292,94.1,J_94_1,397.0,391.91,36.0,388.91,330.0,true,,HYDROLOGY + manual overrides where provided
,295,94.2,J_94_2,398.34,393.72,18.0,392.22,43.0,true,,HYDROLOGY + manual overrides where provided
,296,94.4,J_94_4,398.4,391.17,36.0,388.17,366.0,true,,HYDROLOGY + manual overrides where provided
,298,95,J_95,398.0,388.6,42.0,385.1,944.0,true,,HYDROLOGY + manual overrides where provided
,301,95.1,J_95_1,391.1,,18.0,,380.0,false,AC,HYDROLOGY + manual overrides where provided
,303,95.15,J_95_15,394.0,388.18,18.0,386.68,293.0,true,,HYDROLOGY + manual overrides where provided
,306,95.2,J_95_2,393.84,387.74,24.0,385.74,132.0,true,,HYDROLOGY + manual overrides where provided
,307,95.3,J_95_3,395.0,384.39,24.0,382.39,145.0,true,,HYDROLOGY + manual overrides where provided
,308,95.4,J_95_4,391.49,384.18,48.0,380.18,554.0,true,,HYDROLOGY + manual overrides where provided
,311,96,J_96,390.06,383.91,48.0,379.91,338.0,true,,HYDROLOGY + manual overrides where provided
,314,96.1,J_96_1,390.0,,18.0,,436.0,false,AC,HYDROLOGY + manual overrides where provided
,316,97,J_97,389.5,,18.0,,240.0,false,AC,HYDROLOGY + manual overrides where provided
,319,97.1,J_97_1,389.51,,18.0,,178.0,false,AC,HYDROLOGY + manual overrides where provided
,321,98,J_98,390.2,383.73,48.0,379.73,656.0,true,,HYDROLOGY + manual overrides where provided
,326,99,J_99,389.0,,18.0,,240.0,false,AC,HYDROLOGY + manual overrides where provided
